id_str,feat_pca_0,feat_pca_1,feat_pca_2,feat_pca_3,feat_pca_4,feat_pca_5,feat_pca_6,feat_pca_7,feat_pca_8,feat_pca_9,feat_pca_10,feat_pca_11,feat_pca_12,feat_pca_13,feat_pca_14,feat_pca_15,feat_pca_16,feat_pca_17,feat_pca_18,feat_pca_19,feat_pca_20,feat_pca_21,feat_pca_22,feat_pca_23,feat_pca_24,feat_pca_25,feat_pca_26,feat_pca_27,feat_pca_28,feat_pca_29,feat_pca_30,feat_pca_31,feat_pca_32,feat_pca_33,feat_pca_34,feat_pca_35,feat_pca_36,feat_pca_37,feat_pca_38,feat_pca_39,label,label2
102018212_-588199575513249872,-3.663417719,-0.391084975,4.065028068,-1.333243082,3.630559981,5.578486441,2.047281056,-0.719824015,-1.889998305,1.825408775,-1.67643881,-2.019861792,0.081311468,-1.223322691,-0.996962012,1.770858864,-1.232212814,0.766613847,-0.109424233,-0.129645933,-0.700901146,-0.620279564,1.557840258,-0.025827743,1.346099977,-0.345043873,-0.48997096,-1.012256302,0.038548683,0.662949307,-0.172137143,-0.742922765,-0.049126561,-0.546118749,0.026186885,0.363666195,-0.136307275,1.022862921,-0.834683224,-0.206187357,0,1
102018213_-594971757513738267,-8.351456466,3.650125595,-1.833670611,13.22542034,-11.98895282,12.11194397,-9.387341242,-3.300346999,-9.659098581,-2.643036697,-4.425123088,2.506119465,2.280404897,-1.045233497,2.635781726,-2.639630621,-2.089617057,1.821518339,-0.429645145,0.799111988,-0.860096234,1.00787497,0.127573536,-0.28794969,-0.57670676,-0.593150281,-0.264923356,-0.802610055,-0.96384941,0.397133845,0.760178649,1.066745835,1.645324317,-1.232486037,1.610863508,-0.723415323,-0.079382426,1.372115804,0.425760349,0.199009896,0,1
102018664_-563268036507955941,-4.595285478,4.500030758,-0.530340073,2.402176819,3.181459825,-0.690867477,5.203098257,3.575715437,-1.145512541,-1.959440957,-3.336595848,0.60418587,-5.683970557,-2.353380565,0.288851289,-1.065740686,-1.133026631,1.274180604,0.972165097,-0.412034855,-0.606816814,1.03109112,0.292935942,0.63853322,0.304991646,0.215343651,1.361500743,-1.31201865,0.379262147,2.58781398,1.276292702,1.053809833,-1.309735439,-0.500427835,0.242005122,0.424065298,-1.435213774,-0.561578816,0.766912157,0.157578911,0,1
102018664_-566148966507539414,3.769261613,10.84565248,3.621622215,3.973575664,4.122443007,0.259846802,1.819386718,2.279911954,-0.436440883,2.559241413,-2.881740713,-0.363842859,-1.527340461,0.027747598,1.789429515,-0.002392885,1.182500352,-1.36856118,0.976532812,-0.296293495,-0.385338358,1.054514104,-1.345370656,-1.150944068,-1.970358552,-0.437704632,-1.960586166,-0.224006836,0.025951184,0.813577256,0.570153866,-0.378518881,0.619832698,-0.128584214,-0.671691298,-0.669282189,-0.667178978,-0.330456757,0.969721759,0.466151363,0,1
102018664_-569003084507675615,-8.470501929,0.373182235,0.365191403,1.278126978,2.415989988,2.170429759,2.216042472,-0.323754558,-1.365779586,1.862482629,-1.37872576,-1.73080153,0.494327773,-0.861855646,-0.550395816,1.328972697,-0.136194147,-0.233464993,-0.737434567,-0.138363426,-0.132934188,-0.980873704,1.323969626,-0.696473803,0.65457888,-0.002323585,0.206491809,-0.278819635,0.458399413,0.069175496,0.900874475,-0.861442861,0.162262112,-0.341643268,-0.372692369,0.422828679,-0.455834551,0.446093783,-0.144331556,0.012149655,0,1
102018665_-573633754512237405,0.403287101,3.377212287,4.459975878,-0.888878213,-1.283130326,-1.727440069,-2.609320619,4.611029059,2.111182994,-1.103341215,1.070148266,4.342920405,-1.793948522,-1.152623362,-2.903026314,1.532358458,1.411726696,2.00388518,-2.790149937,-0.638852106,0.645703601,-1.357252739,0.28341039,0.159105786,-0.210264279,0.478712058,-1.45481634,-0.471014766,0.867727362,-0.370619765,0.666151746,0.2815402,-0.115622121,0.873670522,1.62193526,-0.163510384,0.431055597,0.622206,0.882683221,-0.111151086,0,1
102018665_-574304136511498519,-3.954353783,2.16672472,-5.582326459,-0.810691044,0.174559607,-0.297975445,3.059192752,0.784142239,1.179924289,2.482695455,-5.041478994,1.149573158,-1.067499868,-0.281556245,-0.042332497,-0.630855221,-0.3747397,-0.484577658,-0.093982134,0.253886965,-1.010437293,0.175430446,-0.024590633,0.368851423,1.465607825,-0.391773487,-0.176614519,-1.064698752,-1.393418207,0.118605364,-0.007555025,-0.678059063,-1.486734274,0.009087911,-0.191957442,0.20203511,0.306892411,-0.141581154,-0.181480446,-0.575657146,0,1
102018665_-575708432507600685,-7.683966431,1.618252353,2.45836082,2.779690505,2.477691664,3.081244419,7.588752239,-4.217240292,-1.060324799,0.997447611,0.438603199,-0.245479382,0.779601361,0.014640867,-1.453052006,0.962611065,-1.382227357,-0.567226975,-0.743467721,-1.299244268,0.204482684,-0.199218523,0.890114585,0.760363667,0.744891477,-0.509330777,0.767295634,0.042866863,0.245055578,0.640771536,0.895521307,-0.474298728,-0.209153356,0.272228627,-0.260424265,-0.329403772,0.298993229,0.092258018,-0.714409959,0.680420475,0,1
102018665_-576271617508889077,3.02933868,4.685800369,-4.364014718,-4.144286154,-4.362982817,1.070887888,2.493180018,2.603086395,-1.8702279,1.919295864,-0.085155071,-1.354152133,0.351666941,-0.374229704,-0.670019367,0.024079071,-0.415751561,-0.039363076,-0.574303109,1.059139865,-1.186354602,2.172226149,0.593653091,-1.409230728,-0.226433349,-1.668013102,0.062795847,-0.689608232,-0.224028692,0.458405395,-1.741592176,-0.591982127,-0.369991935,-0.285584973,-1.190253124,0.833274321,1.356118286,0.551513861,0.285016942,-1.641868048,0,1
102018665_-576408628510928857,-6.981661286,2.987729151,-0.438892118,2.016248914,-0.8510573,-2.576252911,0.845705129,5.404297355,0.529485924,-1.079605479,0.511708714,1.735076964,-0.105666258,0.272806389,-2.5922023,-0.850736307,-0.957611949,1.195071798,-0.990075425,1.177069835,-0.273062586,0.190913282,2.001515188,-0.401621455,-1.538000026,-0.570539493,-0.063437803,-0.103655412,0.416359667,0.386406715,-0.325312614,0.363788127,0.371340907,-0.172368154,0.304389107,0.233838546,-0.057185281,0.089174179,-0.45151373,-0.784537016,0,1
